bs id,site,Part site name,Species,pop id,Year,Count,Method,Reliability,Survey accuracy,Notes,References,from,date submitted,Version
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2004,294,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2004,74,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2004,694,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2004,363,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2004,210,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2004,23,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2004,45,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2004,166,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2005,283,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2005,,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2005,724,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2005,116,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2005,,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2005,17,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2005,,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2005,130,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2006,229,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2006,63,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2006,473,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2006,337,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2006,197,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2006,15,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2006,44,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2006,103,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2007,231,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2007,48,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2007,422,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2007,294,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2007,142,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2007,13,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2007,40,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2007,89,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2008,344,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2008,129,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2008,515,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2008,376,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2008,220,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2008,16,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2008,59,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2008,105,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2009,398,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2009,96,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2009,551,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2009,315,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2009,246,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2009,18,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2009,51,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2009,119,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2010,207,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2010,65,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2010,549,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2010,335,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2010,391,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2010,15,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2010,54,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2010,82,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2011,,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2011,,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2011,,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2011,192,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2011,,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2011,17,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2011,,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2011,,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2012,205,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2012,66,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2012,403,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2012,734,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2012,221,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2012,9,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2012,51,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2012,99,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2013,228,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2013,73,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2013,598,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2013,800,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2013,331,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2013,12,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2013,32,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2013,71,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2014,237,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2014,76,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2014,541,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2014,525,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2014,274,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2014,15,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2014,56,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2014,116,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2015,334,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2015,80,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2015,679,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2015,390,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2015,261,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2015,15,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2015,60,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2015,102,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2016,203,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2016,68,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2016,297,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2016,280,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2016,152,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2016,15,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2016,35,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2016,56,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2017,259,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2017,,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2017,465,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2017,216,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2017,156,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2017,14,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2017,42,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2017,79,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2018,199,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2018,88,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2018,431,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2018,393,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2018,230,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2018,9,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2018,52,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2018,51,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2019,315,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2019,86,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2019,524,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2019,391,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2019,261,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2019,17,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2019,71,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2019,76,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2020,196,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2020,75,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2020,485,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2020,320,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2020,288,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2020,12,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2020,83,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2020,69,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2021,291,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2021,84,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2021,354,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2021,376,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2021,169,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2021,14,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2021,52,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2021,99,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2022,257,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2022,92,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2022,425,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2022,363,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2022,287,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2022,11,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2022,47,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2022,88,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2023,182,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2023,50,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2023,204,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2023,282,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2023,122,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2023,19,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2023,49,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2023,40,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2024,227,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2024,62,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2024,247,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2024,350,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2024,243,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2024,15,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2024,49,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2024,67,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
